author,train_sample_count,raw_weight,clipped_weight,sample_weight
慧能,22,0.21320072,0.21320072,1.65950766
裴迪,22,0.21320072,0.21320072,1.65950766
喬知之,21,0.21821789,0.21821789,1.69856024
李廓,21,0.21821789,0.21821789,1.69856024
韋渠牟,21,0.21821789,0.21821789,1.69856024
韓琮,21,0.21821789,0.21821789,1.69856024
蘇拯,21,0.21821789,0.21821789,1.69856024
李九齡,21,0.21821789,0.21821789,1.69856024
子蘭,21,0.21821789,0.21821789,1.69856024
楊行真人,21,0.21821789,0.21821789,1.69856024
劉憲,20,0.22360680,0.22360680,1.74050631
竇常,20,0.22360680,0.22360680,1.74050631
竇羣,20,0.22360680,0.22360680,1.74050631
鄭巢,20,0.22360680,0.22360680,1.74050631
陸希聲,20,0.22360680,0.22360680,1.74050631
晁采,20,0.22360680,0.22360680,1.74050631
道鏡　善導,20,0.22360680,0.22360680,1.74050631
孟雲卿,19,0.22941573,0.22941573,1.78572180
賀知章,19,0.22941573,0.22941573,1.78572180
竇庠,19,0.22941573,0.22941573,1.78572180
楊師道,19,0.22941573,0.22941573,1.78572180
鄭畋,19,0.22941573,0.22941573,1.78572180
魏承班,19,0.22941573,0.22941573,1.78572180
王棨,19,0.22941573,0.22941573,1.78572180
景岑,19,0.22941573,0.22941573,1.78572180
菩提達摩,19,0.22941573,0.22941573,1.78572180
崔融,18,0.23570226,0.23570226,1.83465475
孟遲,18,0.23570226,0.23570226,1.83465475
崔珏,18,0.23570226,0.23570226,1.83465475
許彬,18,0.23570226,0.23570226,1.83465475
靈澈,18,0.23570226,0.23570226,1.83465475
栖白,18,0.23570226,0.23570226,1.83465475
敦煌人作品[一],18,0.23570226,0.23570226,1.83465475
契此,18,0.23570226,0.23570226,1.83465475
長孫佐輔,17,0.24253563,0.24253563,1.88784416
董思恭,17,0.24253563,0.24253563,1.88784416
陶翰,17,0.24253563,0.24253563,1.88784416
竇牟,17,0.24253563,0.24253563,1.88784416
暢當,17,0.24253563,0.24253563,1.88784416
楊憑,17,0.24253563,0.24253563,1.88784416
張碧,17,0.24253563,0.24253563,1.88784416
周繇,17,0.24253563,0.24253563,1.88784416
章謁,17,0.24253563,0.24253563,1.88784416
伍喬,17,0.24253563,0.24253563,1.88784416
詹敦仁,17,0.24253563,0.24253563,1.88784416
清江,17,0.24253563,0.24253563,1.88784416
虛中,17,0.24253563,0.24253563,1.88784416
浙東衆詩人,17,0.24253563,0.24253563,1.88784416
郟滂,17,0.24253563,0.24253563,1.88784416
張子容,16,0.25000000,0.25000000,1.94594522
郭震,16,0.25000000,0.25000000,1.94594522
喻坦之,16,0.25000000,0.25000000,1.94594522
盧延讓,16,0.25000000,0.25000000,1.94594522
廣宣,16,0.25000000,0.25000000,1.94594522
薛昭藴,16,0.25000000,0.25000000,1.94594522
趙彥昭,16,0.25000000,0.25000000,1.94594522
錢鏐,16,0.25000000,0.25000000,1.94594522
玄覺,16,0.25000000,0.25000000,1.94594522
翁綬,15,0.25819889,0.25819889,2.00976358
王初,15,0.25819889,0.25819889,2.00976358
朱景玄,15,0.25819889,0.25819889,2.00976358
于鄴,15,0.25819889,0.25819889,2.00976358
胡宿,15,0.25819889,0.25819889,2.00976358
王仁裕,15,0.25819889,0.25819889,2.00976358
劉昭禹,15,0.25819889,0.25819889,2.00976358
李冶,15,0.25819889,0.25819889,2.00976358
尹鶚,15,0.25819889,0.25819889,2.00976358
從諗,15,0.25819889,0.25819889,2.00976358
薛稷,14,0.26726124,0.26726124,2.08030294
王轂,14,0.26726124,0.26726124,2.08030294
包何,14,0.26726124,0.26726124,2.08030294
劉眘虛,14,0.26726124,0.26726124,2.08030294
王季友,14,0.26726124,0.26726124,2.08030294
楊凌,14,0.26726124,0.26726124,2.08030294
蘇味道,14,0.26726124,0.26726124,2.08030294
鄭嵎,14,0.26726124,0.26726124,2.08030294
張賁,14,0.26726124,0.26726124,2.08030294
顧雲,14,0.26726124,0.26726124,2.08030294
法振,14,0.26726124,0.26726124,2.08030294
胡皓,14,0.26726124,0.26726124,2.08030294
丘爲,14,0.26726124,0.26726124,2.08030294
泰欽,14,0.26726124,0.26726124,2.08030294
趙志,14,0.26726124,0.26726124,2.08030294
德宗皇帝,13,0.27735010,0.27735010,2.15883239
僧齊己,13,0.27735010,0.27735010,2.15883239
武平一,13,0.27735010,0.27735010,2.15883239
崔液,13,0.27735010,0.27735010,2.15883239
舒元輿,13,0.27735010,0.27735010,2.15883239
陳去疾,13,0.27735010,0.27735010,2.15883239
裴潾,13,0.27735010,0.27735010,2.15883239
李敬方,13,0.27735010,0.27735010,2.15883239
薛瑩,13,0.27735010,0.27735010,2.15883239
李適,13,0.27735010,0.27735010,2.15883239
崔曙,13,0.27735010,0.27735010,2.15883239
陳摶,13,0.27735010,0.27735010,2.15883239
羅公遠,13,0.27735010,0.27735010,2.15883239
殷濟,13,0.27735010,0.27735010,2.15883239
天然,13,0.27735010,0.27735010,2.15883239
孫宗閔,13,0.27735010,0.27735010,2.15883239
韓蘊中,13,0.27735010,0.27735010,2.15883239
崔日用,12,0.28867513,0.28867513,2.24698399
丁仙芝,12,0.28867513,0.28867513,2.24698399
薛據,12,0.28867513,0.28867513,2.24698399
任華,12,0.28867513,0.28867513,2.24698399
劉復,12,0.28867513,0.28867513,2.24698399
陳子良,12,0.28867513,0.28867513,2.24698399
韋處厚,12,0.28867513,0.28867513,2.24698399
費冠卿,12,0.28867513,0.28867513,2.24698399
王渙,12,0.28867513,0.28867513,2.24698399
任翻,12,0.28867513,0.28867513,2.24698399
江爲,12,0.28867513,0.28867513,2.24698399
許堅,12,0.28867513,0.28867513,2.24698399
楊夔,12,0.28867513,0.28867513,2.24698399
蔣吉,12,0.28867513,0.28867513,2.24698399
文益,12,0.28867513,0.28867513,2.24698399
水神,12,0.28867513,0.28867513,2.24698399
趙冬曦,12,0.28867513,0.28867513,2.24698399
李昂,12,0.28867513,0.28867513,2.24698399
王重民,12,0.28867513,0.28867513,2.24698399
緣密,12,0.28867513,0.28867513,2.24698399
梁鍠,12,0.28867513,0.28867513,2.24698399
丘丹,11,0.30151134,0.30151134,2.34689824
陳標,11,0.30151134,0.30151134,2.34689824
翁洮,11,0.30151134,0.30151134,2.34689824
武三思,11,0.30151134,0.30151134,2.34689824
孟賓于,11,0.30151134,0.30151134,2.34689824
朱存,11,0.30151134,0.30151134,2.34689824
牛希濟,11,0.30151134,0.30151134,2.34689824
盧僎,11,0.30151134,0.30151134,2.34689824
白元鑒,11,0.30151134,0.30151134,2.34689824
童養年,11,0.30151134,0.30151134,2.34689824
僧皎然,10,0.31622777,0.31622777,2.46144764
李約,10,0.31622777,0.31622777,2.46144764
閻朝隱,10,0.31622777,0.31622777,2.46144764
柳中庸,10,0.31622777,0.31622777,2.46144764
冷朝陽,10,0.31622777,0.31622777,2.46144764
陳叔達,10,0.31622777,0.31622777,2.46144764
盧殷,10,0.31622777,0.31622777,2.46144764
崔涯,10,0.31622777,0.31622777,2.46144764
蔣防,10,0.31622777,0.31622777,2.46144764
韋蟾,10,0.31622777,0.31622777,2.46144764
吳仁璧,10,0.31622777,0.31622777,2.46144764
褚載,10,0.31622777,0.31622777,2.46144764
孔德紹,10,0.31622777,0.31622777,2.46144764
鄭遨,10,0.31622777,0.31622777,2.46144764
處默,10,0.31622777,0.31622777,2.46144764
孫思邈,10,0.31622777,0.31622777,2.46144764
湘妃廟,10,0.31622777,0.31622777,2.46144764
李煜,10,0.31622777,0.31622777,2.46144764
王灣,10,0.31622777,0.31622777,2.46144764
張文成,10,0.31622777,0.31622777,2.46144764
魏徵、褚亮,9,0.33333333,0.33333333,2.59459362
李舒,9,0.33333333,0.33333333,2.59459362
徐堅,9,0.33333333,0.33333333,2.59459362
趙光逢、張衮,9,0.33333333,0.33333333,2.59459362
莊南傑,9,0.33333333,0.33333333,2.59459362
張文琮,9,0.33333333,0.33333333,2.59459362
王無競,9,0.33333333,0.33333333,2.59459362
賀蘭進明,9,0.33333333,0.33333333,2.59459362
張潮,9,0.33333333,0.33333333,2.59459362
李義府,9,0.33333333,0.33333333,2.59459362
姚係,9,0.33333333,0.33333333,2.59459362
陳潤,9,0.33333333,0.33333333,2.59459362
鮑防,9,0.33333333,0.33333333,2.59459362
張志和,9,0.33333333,0.33333333,2.59459362
歐陽衮,9,0.33333333,0.33333333,2.59459362
楊發,9,0.33333333,0.33333333,2.59459362
韋元旦,9,0.33333333,0.33333333,2.59459362
薛曜,9,0.33333333,0.33333333,2.59459362
盧藏用,9,0.33333333,0.33333333,2.59459362
馬懷素,9,0.33333333,0.33333333,2.59459362
熊皎,9,0.33333333,0.33333333,2.59459362
左偃,9,0.33333333,0.33333333,2.59459362
蔣貽恭,9,0.33333333,0.33333333,2.59459362
翁宏,9,0.33333333,0.33333333,2.59459362
棲蟾,9,0.33333333,0.33333333,2.59459362
臨淄縣主,9,0.33333333,0.33333333,2.59459362
張諤,9,0.33333333,0.33333333,2.59459362
李邕,9,0.33333333,0.33333333,2.59459362
盧鴻一,9,0.33333333,0.33333333,2.59459362
徐安貞,9,0.33333333,0.33333333,2.59459362
樊鑄,9,0.33333333,0.33333333,2.59459362
馬雲奇,9,0.33333333,0.33333333,2.59459362
范質,9,0.33333333,0.33333333,2.59459362
錢弘俶,9,0.33333333,0.33333333,2.59459362
本寂,9,0.33333333,0.33333333,2.59459362
高宗皇帝,8,0.35355339,0.35355339,2.75198212
姚崇,8,0.35355339,0.35355339,2.75198212
張昭,8,0.35355339,0.35355339,2.75198212
袁朗,8,0.35355339,0.35355339,2.75198212
薛奇童,8,0.35355339,0.35355339,2.75198212
李暇,8,0.35355339,0.35355339,2.75198212
李嶷,8,0.35355339,0.35355339,2.75198212
萬楚,8,0.35355339,0.35355339,2.75198212
蓋嘉運,8,0.35355339,0.35355339,2.75198212
常衮,8,0.35355339,0.35355339,2.75198212
嚴武,8,0.35355339,0.35355339,2.75198212
薛存誠,8,0.35355339,0.35355339,2.75198212
李赤,8,0.35355339,0.35355339,2.75198212
李渤,8,0.35355339,0.35355339,2.75198212
潘咸,8,0.35355339,0.35355339,2.75198212
裴休,8,0.35355339,0.35355339,2.75198212
馮道,8,0.35355339,0.35355339,2.75198212
盧士衡,8,0.35355339,0.35355339,2.75198212
馮涓,8,0.35355339,0.35355339,2.75198212
廖融,8,0.35355339,0.35355339,2.75198212
繆島雲,8,0.35355339,0.35355339,2.75198212
慧淨,8,0.35355339,0.35355339,2.75198212
可朋,8,0.35355339,0.35355339,2.75198212
閻選,8,0.35355339,0.35355339,2.75198212
耿玉真,8,0.35355339,0.35355339,2.75198212
蕭至忠,8,0.35355339,0.35355339,2.75198212
張旭,8,0.35355339,0.35355339,2.75198212
張永進,8,0.35355339,0.35355339,2.75198212
惟勁,8,0.35355339,0.35355339,2.75198212
竇真君,8,0.35355339,0.35355339,2.75198212
中宗皇帝,7,0.37796447,0.37796447,2.94199263
蜀太后徐氏,7,0.37796447,0.37796447,2.94199263
賀知章、源乾曜,7,0.37796447,0.37796447,2.94199263
于邵,7,0.37796447,0.37796447,2.94199263
鄭絪,7,0.37796447,0.37796447,2.94199263
牛僧孺,7,0.37796447,0.37796447,2.94199263
李逢吉,7,0.37796447,0.37796447,2.94199263
韋承慶,7,0.37796447,0.37796447,2.94199263
郎大家宋氏,7,0.37796447,0.37796447,2.94199263
郭元振,7,0.37796447,0.37796447,2.94199263
袁暉,7,0.37796447,0.37796447,2.94199263
王叡,7,0.37796447,0.37796447,2.94199263
鄭錫,7,0.37796447,0.37796447,2.94199263
李紓,7,0.37796447,0.37796447,2.94199263
竇叔向,7,0.37796447,0.37796447,2.94199263
章八元,7,0.37796447,0.37796447,2.94199263
楊於陵,7,0.37796447,0.37796447,2.94199263
謝偃,7,0.37796447,0.37796447,2.94199263
長孫無忌,7,0.37796447,0.37796447,2.94199263
孔紹安,7,0.37796447,0.37796447,2.94199263
宗楚客,7,0.37796447,0.37796447,2.94199263
沈傳師,7,0.37796447,0.37796447,2.94199263
孟簡,7,0.37796447,0.37796447,2.94199263
楊汝士,7,0.37796447,0.37796447,2.94199263
劉允濟,7,0.37796447,0.37796447,2.94199263
盧汝弼,7,0.37796447,0.37796447,2.94199263
李昭象,7,0.37796447,0.37796447,2.94199263
王駕,7,0.37796447,0.37796447,2.94199263
孫郃,7,0.37796447,0.37796447,2.94199263
韋嗣立,7,0.37796447,0.37796447,2.94199263
劉象,7,0.37796447,0.37796447,2.94199263
路德延,7,0.37796447,0.37796447,2.94199263
鄭良士,7,0.37796447,0.37796447,2.94199263
孫棨,7,0.37796447,0.37796447,2.94199263
張爲,7,0.37796447,0.37796447,2.94199263
李濤,7,0.37796447,0.37796447,2.94199263
潘佑,7,0.37796447,0.37796447,2.94199263
詹琲,7,0.37796447,0.37796447,2.94199263
楊徽之,7,0.37796447,0.37796447,2.94199263
吳商浩,7,0.37796447,0.37796447,2.94199263
顧甄遠,7,0.37796447,0.37796447,2.94199263
張窈窕,7,0.37796447,0.37796447,2.94199263
歸仁,7,0.37796447,0.37796447,2.94199263
嵩嶽諸仙,7,0.37796447,0.37796447,2.94199263
許景先,7,0.37796447,0.37796447,2.94199263
賀朝,7,0.37796447,0.37796447,2.94199263
王重民輯錄，劉脩業整理。,7,0.37796447,0.37796447,2.94199263
李郃,7,0.37796447,0.37796447,2.94199263
陳裕,7,0.37796447,0.37796447,2.94199263
本淨,7,0.37796447,0.37796447,2.94199263
青霞子,7,0.37796447,0.37796447,2.94199263
還陽子,7,0.37796447,0.37796447,2.94199263
元安,7,0.37796447,0.37796447,2.94199263
常察,7,0.37796447,0.37796447,2.94199263
神晏,7,0.37796447,0.37796447,2.94199263
宋光嗣,7,0.37796447,0.37796447,2.94199263
柳沖用,7,0.37796447,0.37796447,2.94199263
文宗皇帝,6,0.40824829,0.40824829,3.17771523
徐賢妃,6,0.40824829,0.40824829,3.17771523
蜀太妃徐氏,6,0.40824829,0.40824829,3.17771523
蔡孚,6,0.40824829,0.40824829,3.17771523
鄭世翼,6,0.40824829,0.40824829,3.17771523
王縉,6,0.40824829,0.40824829,3.17771523
張彪,6,0.40824829,0.40824829,3.17771523
徐浩,6,0.40824829,0.40824829,3.17771523
陳翊,6,0.40824829,0.40824829,3.17771523
李幼卿,6,0.40824829,0.40824829,3.17771523
張登,6,0.40824829,0.40824829,3.17771523
崔備,6,0.40824829,0.40824829,3.17771523
